adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tipo,origin_country,original_name,first_air_date,name,media_type,gender,known_for_department,profile_path
False,/ufqytAlziHq5pljKByGJ8IKhtEZ.jpg,"[53, 80, 9648]",425274,en,Now You See Me: Now You Don't,"Os Quatro Cavaleiros estão de volta com uma nova geração de ilusionistas e uma trama cheia de reviravoltas, mágicas e surpresas, em um truque que envolve a joia mais valiosa do mundo.",134.3006,/uZ8C2vVGfK5SYASiioTmtZDJjpv.jpg,2025-11-12,Truque de Mestre: O 3° Ato,False,6.228,252.0,Filme (Popular),,,,,,,,
False,/sUoPlzchsCECqpm3ZmDPeL8QKDK.jpg,"[28, 12, 27]",1084222,en,Operation Blood Hunt,"Um grupo de militares é enviado a uma ilha do Pacífico para investigar o desaparecimento de fuzileiros, possivelmente capturados pelo Exército Imperial Japonês. No entanto, o grupo descobre que os fuzileiros foram massacrados por lobisomens e terão que lutar contra eles se quiserem sobreviver.",123.0274,/5Po7cBJ7YWLE3HbkoJKZyCJ4ESq.jpg,2024-12-12,Caçada Sangrenta,False,6.75,46.0,Filme (Popular),,,,,,,,
False,/2JszsYDORa8NxWY5V7Xp2in2WIr.jpg,[18],1241983,en,Train Dreams,Um lenhador leva uma vida tranquila enquanto lida com o amor e a perda em uma época de profundas transformações nos Estados Unidos do começo do século XX.,110.0175,/iF1SxvdSNWkEfKlZnLzJbSsg4oT.jpg,2025-11-05,Sonhos de Trem,False,7.445,110.0,Filme (Popular),,,,,,,,
False,/qWRTIqDzxyOC6ndumxOngDMAHxl.jpg,"[16, 14, 28, 12]",1026821,zh,大雨,,106.9775,/3CsivmtcjwMUvU0Mu7zZgnK9QaR.jpg,2024-01-12,大雨,False,5.846,13.0,Filme (Popular),,,,,,,,
False,,[27],1280518,es,Laberinto de sombras,,105.0151,/565kBAr0hvgLbJKyAd3dUKk2xn0.jpg,2024-05-10,Laberinto de sombras,False,4.5,2.0,Filme (Popular),,,,,,,,
False,/wE1TZtB5G1fdiln3PPnnLhExuCz.jpg,"[28, 53, 80]",1296504,en,Stand Your Ground,"O ex-agente das Forças Especiais, Jack Johnson, usa a lei Stand Your Ground para se vingar do assassinato de sua esposa, iniciando uma guerra brutal contra a família de um criminoso local e terminando em um confronto explosivo.",103.2495,/vKB59pPIYvjRxxEXoRoyUfaiBoD.jpg,2025-05-09,Stand Your Ground,False,4.6,56.0,Filme (Popular),,,,,,,,
False,/ktsHS7DhwS4M54I3CBkxNV5GlTM.jpg,"[53, 27, 10752, 28]",1244531,en,Beast of War,,101.1124,/2xgDjVEOtu5LlbPEngxfbCqWEFg.jpg,2025-09-18,Beast of War,False,6.5,41.0,Filme (Popular),,,,,,,,
False,/2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg,"[28, 12, 53, 80, 18]",7451,en,xXx,"O ex-atleta de esportes extremos Xander ""XXX"" Cage, famoso por suas acrobacias que desafiam a morte, é convencido de que pode ter sucesso em ações que espiões convencionais falharam. Xander é recrutado pelo agente Gibbons para se tornar um tipo diferente de agente secreto. Agora, em uma perigosa missão, ele precisa usar todas as suas habilidades para combater um inimigo mortal.",98.5407,/lpmyeqSR2Pc7ytfTp1ScD3ferX4.jpg,2002-08-09,Triplo X,False,6.0,4672.0,Filme (Popular),,,,,,,,
False,/jOuu4mEBOuJVb6CkkmRDpjnrZed.jpg,"[27, 9648]",937941,en,Shelby Oaks,"Acompanhe a busca desesperada de Mia por sua irmã desaparecida, Riley, uma youtuber famosa por investigar o paranormal. A obsessão de Mia recomeça quando ela recebe uma fita misteriosa com indícios de que Riley ainda pode estar viva. A partir daí, ela mergulha em uma espiral de horror de um mal desconhecido, repleta de revelações perturbadoras e uma atmosfera sufocante.",95.7485,/jl200vudAx2hhpg3mxZy1KCJgeK.jpg,2025-10-02,Terror em Shelby Oaks,False,5.687,83.0,Filme (Popular),,,,,,,,
False,/gqTz24ZRsCP6AKjARmEivY7m0cK.jpg,"[16, 28, 10749, 14]",1218925,ja,チェンソーマン レゼ篇,"Denji finalmente vive como o temido Homem-Motosserra, um jovem com coração de demônio que integra a Divisão Especial 4 de Caçadores de Demônios. Depois de um encontro marcante com Makima, a mulher de seus sonhos, ele busca refúgio da chuva e acaba conhecendo Reze, a misteriosa atendente de um café.",91.3711,/tj1XhCQ2Rw2sT2o7lIdqPIYvjsx.jpg,2025-09-19,Chainsaw Man – O Filme: Arco da Reze,False,7.827,217.0,Filme (Popular),,,,,,,,
False,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,"[14, 10402, 35, 16]",803796,en,KPop Demon Hunters,"Quando não estão lotando estádios, as estrelas do K-pop Rumi, Mira e Zoey usam seus poderes secretos para proteger os fãs contra ameaças sobrenaturais.",90.8697,/gbdMa7woiuF7IiEB5Spwv5od4oo.jpg,2025-06-20,Guerreiras do K-Pop,False,8.213,1942.0,Filme (Popular),,,,,,,,
False,/7h0qCqkuQzmG5vXN3lGBc06reLd.jpg,"[27, 53]",1468417,en,First Moon,"Uma jovem garçonete é sequestrada por um culto religioso, que está determinado a curá-la da maldição do lobisomem, um vírus sexualmente transmissível, ou matá-la no processo. Para sobreviver, ela precisa escapar antes da primeira lua cheia.",83.0792,/hcjYvv4k9qs0lDG1Q3GIglT30IW.jpg,2025-05-06,Antes da Lua Cheia,False,4.065,46.0,Filme (Popular),,,,,,,,
False,/ulEVubPGxPXik31qcmBTt4oupgM.jpg,"[878, 80]",701387,en,Bugonia,"Dois jovens obcecados por teorias da conspiração sequestram a poderosa CEO de uma grande empresa, convencidos de que ela é uma alienígena com a intenção de destruir o planeta Terra.",80.1398,/uVjFnsgXRxGmfkgiH3GY0tW509k.jpg,2025-10-23,Bugonia,False,7.667,412.0,Filme (Popular),,,,,,,,
False,/xmnqFHhGNYHf5JFy4GSfiIEG0ly.jpg,"[80, 28, 18]",1429738,th,ตี๋ใหญ่ ฤกษ์ดาวโจร,"Na Bangkok da década de 1980, um ladrão astuto comete uma série de assaltos ousados, impressionando as autoridades e o público. Até que um policial decide ir atrás dele.",78.7107,/2Au17UGDQMBr3nR93Gg4TR78X8j.jpg,2025-11-12,Tee Yai: Nascido para o Mal,False,4.8,35.0,Filme (Popular),,,,,,,,
False,/fxKC10HQliVA3Tn5smOclqzL96N.jpg,"[27, 14, 28, 53]",1214140,en,Orang Ikan,"No Pacífico, em 1944, um soldado japonês e um prisioneiro de guerra britânico estão presos em uma ilha deserta, caçados por uma criatura mortal. Dois inimigos mortais precisam se unir para sobreviver ao desconhecido.",65.9459,/x1JOs4xWNr1QYjDAXHxWw1NJ7Sq.jpg,2025-05-08,Orang Ikan,False,5.72,75.0,Filme (Popular),,,,,,,,
False,/8jHvHZPiw6h3Xfy0cv3m7H40O8e.jpg,[18],1265063,en,After the Hunt,"Uma professora universitária (Julia Roberts) enfrenta um grande desafio quando uma estudante (Ayo Edebiri) acusa gravemente um professor (Andrew Garfield), e um segredo obscuro do seu próprio passado ameaça vir à tona.",77.9478,/aYhUKN7plYmCJyPbgKgroDDfYyM.jpg,2025-10-09,Depois da Caçada,False,6.0,216.0,Filme (Popular),,,,,,,,
False,/3iD9yEsxKqliZfPck1aoTVC6K53.jpg,"[18, 10749, 14]",402431,en,Wicked,"Elphaba é uma jovem como outra qualquer do Reino de Oz, mas incompreendida por causa de sua pele verde incomum e por ainda não ter descoberto seu verdadeiro poder. Sua rotina é tranquila e pouco interessante, mas ao iniciar seus estudos na Universidade de Shiz, seu destino encontra Glinda, uma jovem popular e ambiciosa, nascida em berço de ouro, que só quer garantir seus privilégios e ainda não conhece sua verdadeira alma. As duas iniciam uma inesperada amizade; no entanto, suas diferenças, como o desejo de Glinda pela popularidade e poder, e a determinação de Elphaba em permanecer fiel a si mesma, entram no caminho, o que pode perpetuar no futuro de cada uma e em como as pessoas de Oz as enxergam.",76.2999,/qcaKkLwIXCAxJtpetVYHniCvLZj.jpg,2024-11-20,Wicked,False,6.914,2591.0,Filme (Popular),,,,,,,,
False,/tcBX2dtkNozZ0uDLVaxXrE6rqyN.jpg,[27],1038392,en,The Conjuring: Last Rites,"Neste último capítulo, os Warren enfrentam mais um caso aterrorizante, desta vez envolvendo entidades misteriosas que desafiam sua experiência. Ed (Patrick Wilson) e Lorraine (Vera Farmiga) se veem obrigados a encarar seus maiores medos, colocando suas vidas em risco em uma batalha final contra forças malignas.",72.0762,/40nHGUfypLhlr7gJx8At1IbYkaK.jpg,2025-09-03,Invocação do Mal - O Último Ritual,False,7.0,1349.0,Filme (Popular),,,,,,,,
False,/6eLtIyVHCzqoQdsLfOPPNVTxsn7.jpg,"[878, 12, 28]",617126,en,The Fantastic 4: First Steps,"No vibrante cenário de um mundo retrofuturista inspirado nos anos 1960, a Primeira Família da Marvel é forçada a equilibrar seus papéis como heróis com a força de seus laços familiares, enquanto defendem a Terra de um deus espacial voraz chamado Galactus e sua enigmática arauta, a Surfista Prateada.",71.5603,/hlWOAWRKSno6UxaE0IXDFVvmzTf.jpg,2025-07-23,Quarteto Fantástico: Primeiros Passos,False,7.043,2490.0,Filme (Popular),,,,,,,,
False,/vZK3f5N8Fv2LcyFYLwt6dz0HE1H.jpg,"[28, 35]",1161617,en,Code 3,,63.768,/gIAYMDb5mIAeCAj76q1sRsKjkzo.jpg,2025-09-12,Code 3,False,6.701,127.0,Filme (Popular),,,,,,,,
False,/zIFFlcvilrrbUlveEbIsFAtUfGT.jpg,"[16, 12, 10751, 35]",1214130,en,Stitch Head,"O filme acompanha Frankie, um ""cabeça de costura"" criado por um cientista maluco em um castelo isolado. Embora tenha sido feito para ser dócil e temer os humanos, ele decide enfrentar seu maior medo: deixar o castelo e descobrir o mundo real, ao lado de outros monstros.",55.825,/uLxz8dZ4HXAaxOi7Pdh3gqOVLik.jpg,2025-10-16,Frankie e os Monstros,False,6.8,12.0,Filme (Popular),,,,,,,,
False,/tLf5hjuO4gx62lVojPiHsIzCroh.jpg,"[53, 28]",1025527,fr,Six jours,"Anos depois de não conseguir resolver o assassinato de uma jovem, um detetetive se vê obrigado a reabrir o caso quando um crime semelhante acontece. Faltando apenas 6 dias para o caso ser definitivamente arquivado, ele sente o dever de solucioná-lo e evitar que outra criança sofra o mesmo destino.",56.7877,/w6lbMbwYFQPKarDTvVTWNSVBDXO.jpg,2024-12-11,A Perseguição,False,5.873,80.0,Filme (Popular),,,,,,,,
False,/ygOR390GzOX5Quv0kAAcUNDG7fp.jpg,"[12, 28, 27]",1511789,en,Captain Hook: The Cursed Tides,"Após uma derrota devastadora sofrida por seu arquiinimigo, Almirante Smee, o notório Capitão James Hook encontra refúgio na cidade costeira de Eldritch Landing, onde forma uma aliança improvável com Silas Blackweather, um ferreiro local em busca de vingança pelo assassinato de sua irmã. Enquanto eles fogem dos soldados casacas vermelhas de Smee na densa floresta da ilha, lutas de espadas implacáveis, maldições antigas e motivos conflitantes desafiarão sua busca compartilhada por vingança. Juntos, Hook e Silas navegam em águas desconhecidas para enfrentar o traiçoeiro Almirante Smee, embarcando em uma jornada que redefinirá o legado duradouro do Capitão Gancho.",58.6235,/6AWwDt0nUh68dISgAWU72SbjQGF.jpg,2025-07-11,Capitão Hook: A Maldição das Marés,False,4.975,40.0,Filme (Popular),,,,,,,,
False,/zIFFlcvilrrbUlveEbIsFAtUfGT.jpg,"[16, 12, 10751, 35]",1214130,en,Stitch Head,"O filme acompanha Frankie, um ""cabeça de costura"" criado por um cientista maluco em um castelo isolado. Embora tenha sido feito para ser dócil e temer os humanos, ele decide enfrentar seu maior medo: deixar o castelo e descobrir o mundo real, ao lado de outros monstros.",55.825,/uLxz8dZ4HXAaxOi7Pdh3gqOVLik.jpg,2025-10-16,Frankie e os Monstros,False,6.8,12.0,Filme (Popular),,,,,,,,
False,/2YOnE2qmoyyOUqQsFit12gDSauk.jpg,"[35, 18, 80]",1242419,en,Roofman,"Um criminoso carismático durante sua fuga da polícia, assume uma nova identidade e começa a trabalhar em uma loja de brinquedos. Lá, se envolve com uma funcionária e inicia um romance inesperado. Mas quando seu passado ameaça vir à tona, os dois se veem diante de escolhas que podem mudar o destino de suas vidas para sempre.",58.6507,/A8s9WG1GOv8e17rmEDCTNQx8nms.jpg,2025-10-08,O Bom Bandido,False,7.2,207.0,Filme (Popular),,,,,,,,
False,/docDyCJrhPoFXAckB1aOiIv9Mz0.jpg,"[28, 53, 878]",798645,en,The Running Man,"Em um futuro próximo, ""O Sobrevivente"" é o show de maior audiência na televisão – uma competição mortal onde os participantes precisam sobreviver 30 dias enquanto são caçados por assassinos profissionais. Cada passo é transmitido a um público sedento por sangue e cada dia sobrevivido aumenta o prêmio em dinheiro para o vencedor.",58.6148,/8nBuPCAXLFSuUBjO1WvJ2blEVmK.jpg,2025-11-11,O Sobrevivente,False,6.8,192.0,Filme (Popular),,,,,,,,
False,/xPNDRM50a58uvv1il2GVZrtWjkZ.jpg,"[28, 53]",575265,en,Mission: Impossible - The Final Reckoning,"Depois de escapar de um acidente de trem calamitoso, Ethan percebe que a Entidade está escondida a bordo de um antigo submarino russo, mas um inimigo do seu passado chamado Gabriel também está no encalço.",59.3954,/yKQjrwgEkPOGel3JKT2neJzu0jh.jpg,2025-05-17,Missão: Impossível - O Acerto Final,False,7.26,2112.0,Filme (Popular),,,,,,,,
False,/ril2LHOGbmjHHV3asPHWKDdtGyG.jpg,"[10749, 18]",1327862,en,Regretting You,"Morgan Grant e sua filha Clara precisam lidar com o que ficou após um acidente devastador revelar uma traição chocante e forçá-las a confrontar segredos da família, redefinir o amor e se redescobrir.",59.6558,/9yLe2bgpjHIFQL09LdOtoMJDlkf.jpg,2025-10-22,Se Não Fosse Você,False,7.2,82.0,Filme (Popular),,,,,,,,
False,/pU9cz8mZjzwyPAcJDPXBlK99BoR.jpg,"[16, 10751, 35, 12, 14]",1117857,en,In Your Dreams,Um casal de irmãos viaja pela paisagem absurda dos próprios sonhos para pedir ao Sandman que realize seu desejo de uma família perfeita.,47.5784,/zHPgL2f9nZaYUkOXZNsV1Nq9Tt1.jpg,2025-11-07,Nos Seus Sonhos,False,7.111,99.0,Filme (Popular),,,,,,,,
False,/7SgljBnhPPoHxKoQL5ooIhrEgAS.jpg,"[28, 10752]",1223601,fi,Sisu 2,"Ao retornar à casa onde sua família foi brutalmente assassinada durante a guerra, ""o homem que se recusa a morrer"" a desmonta, carrega seus destroços em um caminhão e está determinado a reconstruí-la em algum lugar seguro em sua homenagem. Quando o comandante do Exército Vermelho que matou sua família retorna, decidido a terminar o serviço, inicia-se uma perseguição implacável e alucinante por todo o país — uma luta até a morte.",56.2681,/uD1SSjSxu0LjnbzDQiuunPiqBa9.jpg,2025-10-21,Sisu: Estrada para a Vingança,False,7.5,23.0,Filme (Popular),,,,,,,,
False,/4FzoxZAJnhpoeYHexQCHorsWLxB.jpg,"[10749, 35]",1323475,en,Champagne Problems,Uma executiva americana vai a Paris disposta a comprar uma marca de champanhe antes do Natal e acaba se apaixonando pelo filho do fundador da empresa.,49.1717,/ultFiOA5ASUOYiOny6FIgAlv8YF.jpg,2025-11-18,Borbulhas de Amor,False,6.117,60.0,Filme (Popular),,,,,,,,
False,/vuUDwAi9UgLyNN9xZLtKTaLQWnl.jpg,"[80, 53, 35]",639988,ko,어쩔수가없다,"Depois de ficar desempregado por vários anos, um homem elabora um plano único para conseguir um novo emprego: eliminar sua concorrência.",54.2929,/5wKrvjfWKtjVeQjZZEZKmavi595.jpg,2025-09-24,Sem Outra Escolha,False,7.8,49.0,Filme (Popular),,,,,,,,
False,/3NNoi1GC26017b40g38QBQDZCe5.jpg,"[10751, 35, 12, 10402]",1237082,es,31 Minutos: Calurosa Navidad,"Bodoque parte rumo ao Polo Norte em busca dos presentes de Natal para Titirilquén, mas sua compulsão por apostas gera problemas. No estúdio, Mario Hugo enfrenta desafios ao tentar realizar um show natalino.",52.3428,/lt0IpOhrvhPOzQkQOvg2xK25bZ1.jpg,2025-11-19,31 Minutos: Natal Escaldante,False,8.3,11.0,Filme (Popular),,,,,,,,
False,/eU7IfdWq8KQy0oNd4kKXS0QUR08.jpg,"[878, 12, 28]",1061474,en,Superman,"Superman, um jovem repórter de Metrópolis, embarca em uma jornada para reconciliar sua herança kryptoniana com sua criação humana como Clark Kent.",49.4585,/xeZ8oG6W60fEPf9yCjERUXiHRBF.jpg,2025-07-09,Superman,False,7.415,3866.0,Filme (Popular),,,,,,,,
False,/5A01YSCPYoCOZOhh9tU7F3Htxkf.jpg,"[28, 14, 27, 53]",793387,ko,거룩한 밤: 데몬 헌터스,"Holy Night é uma equipe que luta contra grupos que adoram demônios. Os membros da equipe da Holy Night são Bau, Sharon e Kim Gun. A habilidade especial de Bau é sua poderosa força física. Sharon tem a habilidade de identificar demônios e realizar exorcismos. Kim Gun ajuda Bau e Sharon. Enquanto isso, a psiquiatra Jung Won visita a equipe da Noite Santa para salvar sua irmã mais nova, Eun Seo. Um demônio reside no corpo de Eun Seo.",43.5078,/7MGnHpfhF8savUsrUJoI8Q7dTk9.jpg,2025-04-30,Holy Night: Demon Hunters,False,6.7,69.0,Filme (Popular),,,,,,,,
False,/fQOV47FHTJdaSuSUNlzP3zXUZWE.jpg,"[878, 12, 28]",1234821,en,Jurassic World Rebirth,"Cinco anos após os eventos de Jurassic World: Domínio, a ecologia do planeta se mostrou inóspita para os dinossauros, com os poucos sobreviventes vivendo isolados nas regiões equatoriais. Zora Bennett é contratada para liderar uma equipe de especialistas cujo objetivo é obter o material genético das três maiores criaturas, cujo DNA contém a chave para a criação de um medicamento que trará grandes benefícios à humanidade. Mas a operação se cruzará com uma família cujo barco virou, e todos acabarão em uma ilha proibida, ocupada por dinossauros de inúmeras espécies, onde terão que fazer o impossível para sobreviver.",51.0666,/zuEC2i3I2P7QIcLoUJNBwqRYO4S.jpg,2025-07-01,Jurassic World: Recomeço,False,6.38,2526.0,Filme (Popular),,,,,,,,
False,/qcDDn7WeKBenM4nLlOPXAeJ4hpg.jpg,"[53, 28, 12]",1280450,en,Stolen Girl,"Uma mulher americana passa mais de dez anos procurando sua filha, sequestrada e levada para o Oriente Médio pelo pai, enfrentando perigos e desafios em sua busca incansável.",47.0448,/hpwmR1AE8Ro0KO68YPhk1thACvL.jpg,2025-09-04,Garota Roubada,False,6.4,84.0,Filme (Popular),,,,,,,,
False,/4IB1h88hurwGtX9cdxXmgNImNtW.jpg,"[35, 27]",1215106,th,หมู่บ้านโคกะโหลก,,49.0921,/pRWBabtsYvqpPmxNYcejIUe6lc3.jpg,2025-11-06,หมู่บ้านโคกะโหลก,False,3.8,5.0,Filme (Popular),,,,,,,,
